,Title,Published_date,Views,Likes,Dislikes,Comments,Month
449,3. Numbers [Python 3 Programming Tutorials],2019-05-08,126628,1439,0,59,May
450,18. Multiple Inheritance [Python 3 Programming Tutorials],2019-05-08,18945,250,0,19,May
451,Machine Learning Tutorial Python - 13:  K Means Clustering Algorithm,2019-02-04,426194,8299,0,529,Feb
452,Machine Learning Tutorial Python 12 - K Fold Cross Validation,2019-01-26,244047,5510,0,521,Jan
453,Machine Learning Tutorial Python - 11  Random Forest,2018-12-23,233869,3113,0,317,Dec
454,Machine Learning Tutorial Python - 10  Support Vector Machine (SVM),2018-12-19,267395,3632,0,412,Dec
455,Machine Learning Tutorial Python - 9  Decision Tree,2018-11-17,329945,4625,0,821,Nov
456,Machine Learning Tutorial Python - 8  Logistic Regression (Multiclass Classification),2018-09-21,177807,2395,0,341,Sep
457,Machine Learning Tutorial Python - 8:  Logistic Regression (Binary Classification),2018-09-07,375411,5660,0,535,Sep
458,My Vegetable Garden,2018-09-02,3564,151,0,34,Sep
459,Machine Learning Tutorial Python - 7: Training and Testing Data,2018-08-09,331249,5184,0,322,Aug
460,Machine Learning Tutorial Python - 6: Dummy Variables & One Hot Encoding,2018-08-06,246570,4004,0,563,Aug
461,Machine Learning Tutorial Python - 5: Save Model Using Joblib And Pickle,2018-07-29,177654,2593,0,152,Jul
462,Machine Learning Tutorial Python - 4: Gradient Descent and Cost Function,2018-07-22,421443,6543,0,611,Jul
463,Machine Learning Tutorial Python - 3: Linear Regression Multiple Variables,2018-07-04,390723,5389,0,598,Jul
464,Machine Learning Tutorial Python - 2: Linear Regression Single Variable,2018-07-01,629189,8630,0,1086,Jul
465,Machine Learning Tutorial Python -1: What is Machine Learning?,2018-06-30,681681,8145,0,203,Jun
466,"Python Pandas Tutorial 14: Read Write Data From Database (read_sql, to_sql)",2018-05-05,154770,1951,0,151,May
467,Matplotlib Tutorial 7 - Save Chart To a File Using savefig,2018-01-01,40361,568,0,60,Jan
468,Matplotlib Tutorial 6 - Pie Chart,2017-12-10,64827,865,0,37,Dec
469,Matplotlib Tutorial 5 - Histograms,2017-12-08,90608,1123,0,57,Dec
470,Matplotlib Tutorial 4 - Bar Chart,2017-12-06,114856,1350,0,82,Dec
471,"Matplotlib Tutorial 3 - Axes labels, Legend, Grid",2017-12-03,84830,962,0,53,Dec
472,Matplotlib Tutorial 2 - format strings in plot function,2017-12-03,54875,690,0,33,Dec
473,Matplotlib Tutorial 1 - Introduction and Installation,2017-12-02,111575,1109,0,52,Dec
474,numpy tutorial: iterate numpy array using nditer | numpy nditer,2017-12-02,60757,1045,0,69,Dec
475,Pandas Time Series Analysis 6: Shifting and Lagging,2017-09-03,52938,688,0,51,Sep
476,Pandas Time Series Analysis 6: Timezone Handling,2017-08-27,27827,305,0,19,Aug
477,Pandas Time Series Analysis 5: Period and PeriodIndex,2017-08-14,41188,477,0,42,Aug
478,Pandas Time Series Analysis 4: to_datetime,2017-08-01,46208,511,0,31,Aug
479,Pandas Time Series Analysis 3: Holidays,2017-07-29,44952,615,0,59,Jul
480,Pandas Time Series Analysis Part 2: date_range,2017-07-22,69623,902,0,58,Jul
481,Pandas Time Series Analysis Part 1: DatetimeIndex and Resample,2017-07-15,164225,2369,0,158,Jul
482,Python Pandas Tutorial 13. Crosstab,2017-07-06,81743,1520,0,57,Jul
483,Python Pandas Tutorial 12. Stack Unstack,2017-07-02,70966,1263,0,53,Jul
484,5000 subscribers: Recap on channel history and future tutorials,2017-06-27,1485,95,0,27,Jun
485,Python Pandas Tutorial 11. Reshape dataframe using melt,2017-06-24,88476,1276,0,64,Jun
486,Python Pandas Tutorial 10. Pivot table,2017-06-04,191302,2728,0,132,Jun
487,Python Pandas Tutorial 9. Merge Dataframes,2017-05-27,185370,2999,0,184,May
488,Why Should You Learn Python? | Complete python3 tutorials for beginners,2017-05-23,303428,6111,0,127,May
489,Python Pandas Tutorial 8. Concat Dataframes,2017-05-14,145214,2182,0,83,May
490,Python Pandas Tutorial 7. Group By (Split Apply Combine),2017-03-26,257780,4197,0,270,Mar
491,Python Pandas Tutorial 6. Handle Missing Data: replace function,2017-02-26,148820,3061,0,143,Feb
492,"Python Pandas Tutorial 5: Handle Missing Data: fillna, dropna, interpolate",2017-02-17,295645,5580,0,274,Feb
493,Python Pandas Tutorial 4: Read Write Excel CSV File,2017-02-04,560246,7283,0,473,Feb
494,Python Pandas Tutorial 3: Different Ways Of Creating DataFrame,2017-01-31,235348,3592,0,87,Jan
495,Python Pandas Tutorial 2: Dataframe Basics,2017-01-28,584861,8850,0,414,Jan
496,Python Pandas Tutorial 1. What is Pandas python? Introduction and Installation,2017-01-21,843999,9449,0,354,Jan
497,Jupyter Notebook Tutorial / Ipython Notebook Tutorial,2017-01-15,94280,1434,0,134,Jan
498,What is Anaconda? Install Anaconda On Windows.,2017-01-14,143059,1389,0,65,Jan
499,What is Jupyter Notebook? | Jupyter Notebook Tutorial in Python,2017-01-09,320378,3964,0,121,Jan
500,"numpy tutorial - slicing/stacking arrays, indexing with boolean arrays",2016-12-28,117686,2526,0,87,Dec
501,numpy tutorial - basic array operations,2016-12-26,184923,2239,0,85,Dec
502,numpy tutorial - introduction | numpy array vs python list,2016-12-25,226247,1837,0,101,Dec
503,Python unit testing - pytest parameters,2016-12-23,32611,350,0,31,Dec
504,Python Decorators Tutorial,2016-12-19,92788,1895,0,149,Dec
505,Python unit testing - pytest fixtures,2016-12-17,81072,943,0,51,Dec
506,What is memory leak?,2016-12-13,56199,952,0,46,Dec
507,Python unit testing - skip/selectively run tests in pytest,2016-12-10,37607,328,0,25,Dec
508,Python unit testing - pytest introduction,2016-12-04,153154,940,0,68,Dec
509,What is code?,2016-12-03,30862,418,0,25,Dec
510,Python Tutorial - 31. Multiprocessing Pool (Map Reduce),2016-10-15,81346,1496,0,141,Oct
511,Python Tutorial - 30. Multiprocessing Lock,2016-09-29,51349,753,0,52,Sep
512,Python Tutorial - 29. Sharing Data Between Processes Using Multiprocessing Queue,2016-09-24,75529,996,0,64,Sep
513,Git Tutorial 8 - .gitignore file,2016-09-18,206475,2204,0,113,Sep
514,Python Tutorial - 28. Sharing Data Between Processes Using Array and Value,2016-09-17,71233,801,0,52,Sep
515,Python Tutorial - 27. Multiprocessing Introduction,2016-09-06,135729,1506,0,94,Sep
516,Difference between Multiprocessing and Multithreading,2016-09-05,199756,1972,0,71,Sep
517,Git Tutorial 9: Diff and Merge using meld,2016-08-21,59416,513,0,40,Aug
518,Git Tutorial 7: What is HEAD?,2016-08-20,55873,784,0,56,Aug
519,Git Github Tutorial 10: What is Pull Request?,2016-08-13,209233,3137,0,234,Aug
520,"Git Tutorial 6: Branches (Create, Merge, Delete a branch)",2016-08-10,213849,2419,0,164,Aug
521,Git Tutorial 5: Undoing/Reverting/Resetting code changes,2016-08-06,221625,2291,0,165,Aug
522,"Git Tutorial 4: Basic Commands: add, commit, push",2016-07-31,370206,3942,0,192,Jul
523,Git Tutorial 2 : What is Github? | github tutorial,2016-07-24,70456,655,0,30,Jul
524,Git Tutorial 1: What is git / What is version control system?,2016-07-23,110104,1314,0,64,Jul
525,Git Tutorial 3:  How To Install Git,2016-07-23,39512,257,0,17,Jul
526,Python Tutorial - 26. Multithreading - Introduction,2016-06-19,220877,3061,0,209,Jun
527,Debugging Tips - Watches and Call Stack,2016-06-02,7172,114,0,10,Jun
528,Debugging Tips - Conditional Breakpoint,2016-05-29,8883,161,0,10,May
529,Debugging Tips - What is bug and debugging?,2016-05-28,168512,1934,0,58,May
530,Python Tutorial - 25. Command line argument processing using argparse,2016-05-14,85096,1007,0,102,May
531,Python Tutorial - 24. Sets and Frozen Sets,2016-05-08,18889,254,0,14,May
